frame,error,x_c0,y_c0,z_c0,q_c0,x_c1,y_c1,z_c1,q_c1,x_c2,y_c2,z_c2,q_c2,x_c3,y_c3,z_c3,q_c3,x_c4,y_c4,z_c4,q_c4,x_c5,y_c5,z_c5,q_c5,x_c6,y_c6,z_c6,q_c6,x_c7,y_c7,z_c7,q_c7,x_c8,y_c8,z_c8,q_c8,x_c9,y_c9,z_c9,q_c9,x_c10,y_c10,z_c10,q_c10,x_c11,y_c11,z_c11,q_c11,x_c12,y_c12,z_c12,q_c12,x_c13,y_c13,z_c13,q_c13,x_c14,y_c14,z_c14,q_c14,x_c15,y_c15,z_c15,q_c15,x_c16,y_c16,z_c16,q_c16,x_c17,y_c17,z_c17,q_c17,x_c18,y_c18,z_c18,q_c18,x_c19,y_c19,z_c19,q_c19,x_c20,y_c20,z_c20,q_c20,x_c21,y_c21,z_c21,q_c21,x_c22,y_c22,z_c22,q_c22,x_c23,y_c23,z_c23,q_c23
0,1.449257948,-0.1417445822230622,-0.0132952266160458,-0.3041587797941068,0.6959175615854226,0.0404886718120758,-0.0443838909045416,-0.5522563070046578,-0.4294665048044459,-0.0206747752910746,-0.0756294231825031,-0.0948337012675846,0.7289443612696791,-0.0566668157510776,-0.0893868004488107,-0.2917266613679415,-0.8899528116456963,0.1059803171609741,-0.0177362465646201,-0.0906464575863836,0.482117490354428,0.1831909346478841,-0.0432245236155084,-0.3406446689410855,-0.6035297564939646,-0.0526250140197052,-0.0098414120733401,-0.3913130377735998,0.0604057803354635,0.0385876335294865,-0.0102006235539682,0.2777354441495952,0.6991174418445399,-0.37019013482191,-0.0020834470305529,0.1755937627509833,-0.4131324281244263,0.1912601573589177,-0.0137228262807609,0.1465575115539387,-0.928601460394253,-0.22974012632179,-0.4379445290001119,-0.274433563847183,-0.1057946580878595,0.175017653042987,-0.0105110436788103,0.2275819368040657,0.9961038253671308,0.3915133816434108,-0.1883257583058777,0.3508402387851429,-0.3737552305035935,-0.0001622824284273,-0.0493878078139276,0.2804698221798965,0.9714181100989372,0.0387899888364024,0.216814998592774,-0.049721447939457,-0.997339824246356,-0.262100695166456,-0.0374939425367315,-0.2559846007518999,0.7637225416907655,0.0303129926353075,-0.2816699137266788,-0.0621814568306182,-0.9974375214017446,-0.3533818001912584,0.0603020183565871,-0.2599897925629315,-0.4871145088925188,0.4015122509777722,-0.2808184974124889,-0.2876885140728485,0.4662300369825688,0.007895595079511,0.062897191709167,0.5387165950966557,0.6223673236702755,-0.3010957650824927,-0.0601318522268538,-0.0900648261231495,0.9509229066582735,-0.3539803019404968,-0.0917774327224335,-0.1593362661206448,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122664,-0.6086911331096487,0.0048404484552184,-0.0179756989510477,-0.046108580142333,0.3897866237988844
1,1.821068129,-0.1417445822230624,-0.0132952266160459,-0.3041587797941068,0.6959175615854226,0.0404886718120757,-0.0443838909045416,-0.5522563070046577,-0.4294665048044459,-0.0206747752910745,-0.0756294231825031,-0.0948337012675845,0.7289443612696791,-0.0566668157510776,-0.0893868004488106,-0.2917266613679413,-0.8899528116456963,0.1059803171609741,-0.0177362465646201,-0.0906464575863835,0.482117490354428,0.1831909346478841,-0.0432245236155083,-0.3406446689410854,-0.6035297564939646,-0.052625014019705,-0.0098414120733402,-0.3913130377735998,0.0604057803354635,0.0385876335294865,-0.0102006235539682,0.2777354441495952,0.6991174418445399,-0.37019013482191,-0.0020834470305528,0.1755937627509834,-0.4131324281244263,0.1912601573589177,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.22974012632179,-0.4379445290001118,-0.274433563847183,-0.1057946580878595,0.175017653042987,-0.0105110436788103,0.2275819368040657,0.9961038253671308,0.3915133816434108,-0.1883257583058777,0.3508402387851431,-0.3737552305035935,-0.0001622824284273,-0.0493878078139276,0.2804698221798965,0.9714181100989372,0.0387899888364024,0.2168149985927741,-0.0497214479394569,-0.997339824246356,-0.2621006951664561,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353076,-0.2816699137266787,-0.0621814568306182,-0.9974375214017446,-0.3533818001912583,0.0603020183565869,-0.2599897925629316,-0.4871145088925188,0.4015122509777722,-0.2808184974124889,-0.2876885140728485,0.4662300369825688,0.0078955950795109,0.062897191709167,0.5387165950966556,0.6223673236702755,-0.3010957650824928,-0.0601318522268536,-0.0900648261231494,0.9509229066582735,-0.3539803019404968,-0.0917774327224334,-0.1593362661206448,-0.9922381659518612,-0.0465644032467313,-0.0534254991807295,-0.3982631535122665,-0.6086911331096487,0.0048404484552186,-0.0179756989510477,-0.0461085801423331,0.3897866237988844
2,1.770984366,-0.1417445822230623,-0.0132952266160459,-0.3041587797941067,0.6959175615854226,0.0404886718120758,-0.0443838909045416,-0.5522563070046577,-0.4294665048044459,-0.0206747752910744,-0.075629423182503,-0.0948337012675844,0.7289443612696791,-0.0566668157510779,-0.0893868004488106,-0.2917266613679414,-0.8899528116456963,0.1059803171609741,-0.01773624656462,-0.0906464575863835,0.482117490354428,0.183190934647884,-0.0432245236155083,-0.3406446689410855,-0.6035297564939646,-0.052625014019705,-0.0098414120733401,-0.3913130377735999,0.0604057803354635,0.0385876335294865,-0.0102006235539683,0.2777354441495952,0.6991174418445399,-0.37019013482191,-0.0020834470305528,0.1755937627509834,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.22974012632179,-0.4379445290001119,-0.2744335638471831,-0.1057946580878595,0.175017653042987,-0.0105110436788103,0.2275819368040658,0.9961038253671308,0.3915133816434109,-0.1883257583058777,0.350840238785143,-0.3737552305035935,-0.0001622824284273,-0.0493878078139276,0.2804698221798966,0.9714181100989372,0.0387899888364024,0.216814998592774,-0.0497214479394569,-0.997339824246356,-0.2621006951664562,-0.0374939425367315,-0.2559846007518997,0.7637225416907655,0.0303129926353076,-0.2816699137266787,-0.0621814568306183,-0.9974375214017446,-0.3533818001912583,0.0603020183565869,-0.2599897925629316,-0.4871145088925188,0.4015122509777722,-0.2808184974124889,-0.2876885140728485,0.4662300369825688,0.007895595079511,0.062897191709167,0.5387165950966554,0.6223673236702755,-0.3010957650824927,-0.0601318522268536,-0.0900648261231495,0.9509229066582735,-0.3539803019404968,-0.0917774327224334,-0.1593362661206448,-0.9922381659518612,-0.0465644032467311,-0.0534254991807295,-0.3982631535122666,-0.6086911331096487,0.0048404484552187,-0.0179756989510478,-0.046108580142333,0.3897866237988844
3,2.13166595,-0.1417445822230622,-0.0132952266160459,-0.3041587797941065,0.6959175615854226,0.0404886718120758,-0.0443838909045417,-0.5522563070046574,-0.4294665048044459,-0.0206747752910744,-0.075629423182503,-0.0948337012675844,0.7289443612696791,-0.0566668157510779,-0.0893868004488106,-0.2917266613679415,-0.8899528116456963,0.105980317160974,-0.0177362465646199,-0.0906464575863834,0.482117490354428,0.1831909346478842,-0.0432245236155085,-0.3406446689410858,-0.6035297564939646,-0.0526250140197051,-0.0098414120733401,-0.3913130377735999,0.0604057803354635,0.0385876335294865,-0.0102006235539683,0.2777354441495952,0.6991174418445399,-0.3701901348219101,-0.0020834470305528,0.1755937627509835,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.22974012632179,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429869,-0.0105110436788103,0.2275819368040659,0.9961038253671308,0.3915133816434109,-0.1883257583058778,0.3508402387851431,-0.3737552305035935,-0.0001622824284274,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364024,0.2168149985927741,-0.049721447939457,-0.997339824246356,-0.2621006951664563,-0.0374939425367315,-0.2559846007518997,0.7637225416907655,0.0303129926353077,-0.2816699137266787,-0.0621814568306183,-0.9974375214017446,-0.3533818001912584,0.060302018356587,-0.2599897925629316,-0.4871145088925188,0.4015122509777722,-0.2808184974124888,-0.2876885140728485,0.4662300369825688,0.0078955950795111,0.0628971917091671,0.5387165950966554,0.6223673236702755,-0.3010957650824926,-0.0601318522268537,-0.0900648261231496,0.9509229066582735,-0.3539803019404969,-0.0917774327224335,-0.1593362661206447,-0.9922381659518612,-0.0465644032467311,-0.0534254991807295,-0.3982631535122667,-0.6086911331096487,0.0048404484552187,-0.0179756989510479,-0.0461085801423329,0.3897866237988844
4,1.789198699,-0.1417445822230624,-0.013295226616046,-0.3041587797941064,0.6959175615854226,0.0404886718120758,-0.0443838909045417,-0.5522563070046576,-0.4294665048044459,-0.0206747752910744,-0.0756294231825031,-0.0948337012675844,0.7289443612696791,-0.0566668157510782,-0.0893868004488107,-0.2917266613679415,-0.8899528116456963,0.105980317160974,-0.01773624656462,-0.0906464575863835,0.482117490354428,0.1831909346478842,-0.0432245236155084,-0.3406446689410856,-0.6035297564939646,-0.0526250140197051,-0.0098414120733401,-0.3913130377735999,0.0604057803354635,0.0385876335294864,-0.0102006235539685,0.277735444149595,0.6991174418445399,-0.3701901348219102,-0.0020834470305528,0.1755937627509835,-0.4131324281244263,0.1912601573589176,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.22974012632179,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429868,-0.0105110436788103,0.2275819368040658,0.9961038253671308,0.3915133816434108,-0.1883257583058778,0.350840238785143,-0.3737552305035935,-0.0001622824284273,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364024,0.2168149985927741,-0.0497214479394569,-0.997339824246356,-0.2621006951664565,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353077,-0.2816699137266788,-0.0621814568306183,-0.9974375214017446,-0.3533818001912584,0.060302018356587,-0.2599897925629316,-0.4871145088925188,0.4015122509777721,-0.2808184974124888,-0.2876885140728486,0.4662300369825688,0.007895595079511,0.0628971917091672,0.5387165950966554,0.6223673236702755,-0.3010957650824925,-0.0601318522268538,-0.0900648261231495,0.9509229066582735,-0.3539803019404968,-0.0917774327224335,-0.1593362661206446,-0.9922381659518612,-0.0465644032467312,-0.0534254991807294,-0.3982631535122667,-0.6086911331096487,0.0048404484552187,-0.017975698951048,-0.0461085801423329,0.3897866237988844
5,1.989344335,-0.1417445822230624,-0.0132952266160459,-0.3041587797941064,0.6959175615854226,0.0404886718120758,-0.0443838909045417,-0.5522563070046574,-0.4294665048044459,-0.0206747752910744,-0.075629423182503,-0.0948337012675843,0.7289443612696791,-0.0566668157510782,-0.0893868004488107,-0.2917266613679415,-0.8899528116456963,0.1059803171609743,-0.0177362465646201,-0.090646457586384,0.482117490354428,0.1831909346478842,-0.0432245236155085,-0.3406446689410856,-0.6035297564939646,-0.0526250140197052,-0.0098414120733401,-0.3913130377736,0.0604057803354635,0.0385876335294864,-0.0102006235539686,0.2777354441495949,0.6991174418445399,-0.3701901348219102,-0.0020834470305528,0.1755937627509836,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.2297401263217899,-0.4379445290001118,-0.274433563847183,-0.1057946580878595,0.1750176530429867,-0.0105110436788103,0.2275819368040658,0.9961038253671308,0.3915133816434107,-0.1883257583058778,0.3508402387851429,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364025,0.2168149985927741,-0.049721447939457,-0.997339824246356,-0.2621006951664565,-0.0374939425367315,-0.2559846007518999,0.7637225416907655,0.0303129926353078,-0.2816699137266788,-0.0621814568306183,-0.9974375214017446,-0.3533818001912585,0.0603020183565871,-0.2599897925629317,-0.4871145088925188,0.4015122509777721,-0.2808184974124888,-0.2876885140728487,0.4662300369825688,0.0078955950795111,0.0628971917091673,0.5387165950966553,0.6223673236702755,-0.3010957650824924,-0.060131852226854,-0.0900648261231495,0.9509229066582735,-0.3539803019404968,-0.0917774327224334,-0.1593362661206446,-0.9922381659518612,-0.0465644032467312,-0.0534254991807295,-0.3982631535122667,-0.6086911331096487,0.0048404484552188,-0.0179756989510479,-0.0461085801423329,0.3897866237988844
6,2.224469253,-0.1417445822230624,-0.0132952266160458,-0.3041587797941065,0.6959175615854226,0.0404886718120757,-0.0443838909045416,-0.5522563070046573,-0.4294665048044459,-0.0206747752910744,-0.075629423182503,-0.0948337012675842,0.7289443612696791,-0.0566668157510783,-0.0893868004488105,-0.2917266613679416,-0.8899528116456963,0.1059803171609745,-0.0177362465646201,-0.0906464575863845,0.482117490354428,0.1831909346478842,-0.0432245236155086,-0.3406446689410857,-0.6035297564939646,-0.052625014019705,-0.0098414120733402,-0.3913130377736,0.0604057803354635,0.0385876335294864,-0.0102006235539686,0.2777354441495948,0.6991174418445399,-0.3701901348219102,-0.0020834470305527,0.1755937627509836,-0.4131324281244263,0.1912601573589175,-0.0137228262807608,0.1465575115539386,-0.928601460394253,-0.2297401263217899,-0.4379445290001118,-0.274433563847183,-0.1057946580878595,0.1750176530429869,-0.0105110436788103,0.2275819368040658,0.9961038253671308,0.3915133816434108,-0.1883257583058778,0.350840238785143,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798968,0.9714181100989372,0.0387899888364024,0.216814998592774,-0.049721447939457,-0.997339824246356,-0.2621006951664565,-0.0374939425367316,-0.2559846007519,0.7637225416907655,0.0303129926353079,-0.2816699137266788,-0.0621814568306183,-0.9974375214017446,-0.3533818001912585,0.060302018356587,-0.2599897925629316,-0.4871145088925188,0.4015122509777723,-0.2808184974124889,-0.2876885140728487,0.4662300369825688,-0.5055307450003745,0.0628971917091672,-0.1710839483692991,0.6223673236702755,-0.3010957650824924,-0.0601318522268539,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224335,-0.1593362661206446,-0.9922381659518612,-0.0465644032467311,-0.0534254991807294,-0.3982631535122666,-0.6086911331096487,0.0048404484552188,-0.0179756989510479,-0.0461085801423328,0.3897866237988844
7,2.557746922,-0.1417445822230625,-0.0132952266160459,-0.3041587797941065,0.6959175615854226,0.0404886718120758,-0.0443838909045416,-0.5522563070046576,-0.4294665048044459,-0.0206747752910743,-0.075629423182503,-0.0948337012675843,0.7289443612696791,-0.0566668157510784,-0.0893868004488105,-0.2917266613679415,-0.8899528116456963,0.1059803171609744,-0.0177362465646201,-0.0906464575863843,0.482117490354428,0.1831909346478842,-0.0432245236155086,-0.3406446689410857,-0.6035297564939646,-0.0526250140197049,-0.0098414120733402,-0.3913130377735999,0.0604057803354635,0.0385876335294864,-0.0102006235539685,0.2777354441495947,0.6991174418445399,-0.3701901348219101,-0.0020834470305527,0.1755937627509835,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539386,-0.928601460394253,-0.2297401263217898,-0.4379445290001119,-0.2744335638471829,-0.1057946580878595,0.1750176530429867,-0.0105110436788104,0.2275819368040658,0.9961038253671308,0.3915133816434107,-0.1883257583058778,0.3508402387851429,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364024,0.2168149985927739,-0.0497214479394569,-0.997339824246356,-0.2621006951664565,-0.0374939425367316,-0.2559846007518999,0.7637225416907655,0.0303129926353079,-0.2816699137266787,-0.0621814568306184,-0.9974375214017446,-0.3533818001912585,0.0603020183565869,-0.2599897925629316,-0.4871145088925188,0.4015122509777725,-0.2808184974124889,-0.2876885140728488,0.4662300369825688,0.015351258834643,0.0628971917091673,0.5263829690493388,0.6223673236702755,-0.3010957650824924,-0.060131852226854,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224334,-0.1593362661206446,-0.9922381659518612,-0.0465644032467313,-0.0534254991807293,-0.3982631535122667,-0.6086911331096487,0.0048404484552188,-0.0179756989510479,-0.0461085801423329,0.3897866237988844
8,2.882940708,-0.1417445822230626,-0.0132952266160458,-0.3041587797941065,0.6959175615854226,0.0404886718120755,-0.0443838909045415,-0.5522563070046576,-0.4294665048044459,-0.0206747752910742,-0.075629423182503,-0.0948337012675842,0.7289443612696791,-0.0566668157510784,-0.0893868004488105,-0.2917266613679415,-0.8899528116456963,0.1059803171609744,-0.0177362465646202,-0.0906464575863846,0.482117490354428,0.1831909346478841,-0.0432245236155086,-0.3406446689410859,-0.6035297564939646,-0.0526250140197049,-0.0098414120733404,-0.3913130377735997,0.0604057803354635,0.0385876335294864,-0.0102006235539686,0.2777354441495947,0.6991174418445399,-0.3701901348219102,-0.0020834470305527,0.1755937627509835,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539385,-0.928601460394253,-0.2297401263217898,-0.4379445290001118,-0.2744335638471828,-0.1057946580878595,0.1750176530429867,-0.0105110436788103,0.2275819368040657,0.9961038253671308,0.3915133816434107,-0.1883257583058778,0.3508402387851429,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364024,0.2168149985927739,-0.0497214479394569,-0.997339824246356,-0.2621006951664565,-0.0374939425367317,-0.2559846007518999,0.7637225416907655,0.0303129926353079,-0.2816699137266787,-0.0621814568306184,-0.9974375214017446,-0.3533818001912586,0.060302018356587,-0.2599897925629316,-0.4871145088925188,0.4015122509777725,-0.280818497412489,-0.2876885140728487,0.4662300369825688,0.0153512588346431,0.0628971917091673,0.5263829690493387,0.6223673236702755,-0.3010957650824924,-0.0601318522268539,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224334,-0.1593362661206446,-0.9922381659518612,-0.0465644032467313,-0.0534254991807291,-0.3982631535122667,-0.6086911331096487,0.0048404484552189,-0.0179756989510479,-0.0461085801423329,0.3897866237988844
9,3.10545863,-0.1417445822230626,-0.0132952266160459,-0.3041587797941064,0.6959175615854226,0.0404886718120752,-0.0443838909045415,-0.5522563070046577,-0.4294665048044459,-0.0206747752910745,-0.075629423182503,-0.0948337012675842,0.7289443612696791,-0.0566668157510785,-0.0893868004488106,-0.2917266613679414,-0.8899528116456963,0.1059803171609744,-0.0177362465646201,-0.0906464575863844,0.482117490354428,0.1831909346478843,-0.0432245236155088,-0.3406446689410859,-0.6035297564939646,-0.0526250140197049,-0.0098414120733402,-0.3913130377735998,0.0604057803354635,0.0385876335294866,-0.0102006235539686,0.2777354441495945,0.6991174418445399,-0.3701901348219102,-0.0020834470305528,0.1755937627509833,-0.4131324281244263,0.1912601573589175,-0.013722826280761,0.1465575115539383,-0.928601460394253,-0.2297401263217899,-0.4379445290001118,-0.2744335638471828,-0.1057946580878595,0.1750176530429867,-0.0105110436788103,0.2275819368040657,0.9961038253671308,0.3915133816434107,-0.1883257583058778,0.350840238785143,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364024,0.2168149985927739,-0.0497214479394567,-0.997339824246356,-0.2621006951664565,-0.0374939425367317,-0.2559846007518999,0.7637225416907655,0.0303129926353079,-0.2816699137266788,-0.0621814568306184,-0.9974375214017446,-0.3533818001912586,0.060302018356587,-0.2599897925629316,-0.4871145088925188,0.4015122509777727,-0.280818497412489,-0.2876885140728486,0.4662300369825688,0.015351258834643,0.0628971917091674,0.5263829690493387,0.6223673236702755,-0.3010957650824924,-0.060131852226854,-0.0900648261231496,0.9509229066582735,-0.3539803019404966,-0.0917774327224335,-0.1593362661206445,-0.9922381659518612,-0.0465644032467313,-0.0534254991807291,-0.3982631535122667,-0.6086911331096487,0.0048404484552188,-0.0179756989510479,-0.0461085801423329,0.3897866237988844
