frame,error,x_c0,y_c0,z_c0,q_c0,x_c1,y_c1,z_c1,q_c1,x_c2,y_c2,z_c2,q_c2,x_c3,y_c3,z_c3,q_c3,x_c4,y_c4,z_c4,q_c4,x_c5,y_c5,z_c5,q_c5,x_c6,y_c6,z_c6,q_c6,x_c7,y_c7,z_c7,q_c7,x_c8,y_c8,z_c8,q_c8,x_c9,y_c9,z_c9,q_c9,x_c10,y_c10,z_c10,q_c10,x_c11,y_c11,z_c11,q_c11,x_c12,y_c12,z_c12,q_c12,x_c13,y_c13,z_c13,q_c13,x_c14,y_c14,z_c14,q_c14,x_c15,y_c15,z_c15,q_c15,x_c16,y_c16,z_c16,q_c16,x_c17,y_c17,z_c17,q_c17,x_c18,y_c18,z_c18,q_c18,x_c19,y_c19,z_c19,q_c19,x_c20,y_c20,z_c20,q_c20,x_c21,y_c21,z_c21,q_c21,x_c22,y_c22,z_c22,q_c22,x_c23,y_c23,z_c23,q_c23
0,1.552346355,-0.1417445822230622,-0.0132952266160458,-0.3041587797941067,0.6959175615854226,0.0404886718120758,-0.0443838909045417,-0.5522563070046577,-0.4294665048044459,-0.0206747752910746,-0.0756294231825032,-0.0948337012675844,0.7289443612696791,-0.0566668157510775,-0.0893868004488107,-0.2917266613679414,-0.8899528116456963,0.1059803171609741,-0.01773624656462,-0.0906464575863835,0.482117490354428,0.1831909346478842,-0.0432245236155086,-0.3406446689410856,-0.6035297564939646,-0.0526250140197049,-0.00984141207334,-0.3913130377735997,0.0604057803354635,0.0385876335294866,-0.0102006235539682,0.2777354441495952,0.6991174418445399,-0.3701901348219103,-0.0020834470305528,0.1755937627509832,-0.4131324281244263,0.1912601573589179,-0.0137228262807609,0.1465575115539389,-0.928601460394253,-0.22974012632179,-0.437944529000112,-0.274433563847183,-0.1057946580878595,0.1750176530429871,-0.0105110436788104,0.2275819368040658,0.9961038253671308,0.391513381643411,-0.1883257583058776,0.350840238785143,-0.3737552305035935,-0.0001622824284273,-0.0493878078139275,0.2804698221798966,0.9714181100989372,0.0387899888364023,0.2168149985927741,-0.0497214479394571,-0.997339824246356,-0.2621006951664559,-0.0374939425367316,-0.2559846007519,0.7637225416907655,0.0303129926353074,-0.2816699137266787,-0.0621814568306182,-0.9974375214017446,-0.3533818001912586,0.0603020183565871,-0.2599897925629315,-0.4871145088925188,0.4015122509777724,-0.280818497412489,-0.2876885140728485,0.4662300369825688,0.0078955950795109,0.0628971917091674,0.538716595096655,0.6223673236702755,-0.3010957650824928,-0.0601318522268538,-0.0900648261231495,0.9509229066582735,-0.3539803019404968,-0.0917774327224336,-0.1593362661206449,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122665,-0.6086911331096487,0.0048404484552183,-0.0179756989510476,-0.046108580142333,0.3897866237988844
1,1.808711665,-0.1417445822230623,-0.0132952266160458,-0.3041587797941067,0.6959175615854226,0.0404886718120759,-0.0443838909045416,-0.5522563070046576,-0.4294665048044459,-0.0206747752910745,-0.0756294231825032,-0.0948337012675844,0.7289443612696791,-0.0566668157510776,-0.0893868004488107,-0.2917266613679413,-0.8899528116456963,0.1059803171609742,-0.01773624656462,-0.0906464575863836,0.482117490354428,0.1831909346478844,-0.043224523615509,-0.340644668941086,-0.6035297564939646,-0.0526250140197049,-0.00984141207334,-0.3913130377735998,0.0604057803354635,0.0385876335294866,-0.0102006235539682,0.2777354441495952,0.6991174418445399,-0.3701901348219103,-0.0020834470305528,0.1755937627509833,-0.4131324281244263,0.1912601573589179,-0.0137228262807609,0.146557511553939,-0.928601460394253,-0.22974012632179,-0.4379445290001119,-0.2744335638471831,-0.1057946580878595,0.1750176530429871,-0.0105110436788103,0.2275819368040658,0.9961038253671308,0.391513381643411,-0.1883257583058776,0.350840238785143,-0.3737552305035935,-0.0001622824284272,-0.0493878078139275,0.2804698221798967,0.9714181100989372,0.0387899888364022,0.2168149985927741,-0.0497214479394571,-0.997339824246356,-0.2621006951664558,-0.0374939425367316,-0.2559846007518999,0.7637225416907655,0.0303129926353075,-0.2816699137266787,-0.0621814568306183,-0.9974375214017446,-0.3533818001912586,0.0603020183565871,-0.2599897925629316,-0.4871145088925188,0.4015122509777724,-0.280818497412489,-0.2876885140728485,0.4662300369825688,0.0078955950795109,0.0628971917091673,0.5387165950966551,0.6223673236702755,-0.3010957650824926,-0.060131852226854,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224338,-0.1593362661206449,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122665,-0.6086911331096487,0.0048404484552183,-0.0179756989510475,-0.0461085801423329,0.3897866237988844
2,1.748013059,-0.1417445822230623,-0.0132952266160458,-0.3041587797941067,0.6959175615854226,0.0404886718120759,-0.0443838909045416,-0.5522563070046576,-0.4294665048044459,-0.0206747752910745,-0.075629423182503,-0.0948337012675844,0.7289443612696791,-0.0566668157510775,-0.0893868004488108,-0.2917266613679414,-0.8899528116456963,0.1059803171609742,-0.01773624656462,-0.0906464575863835,0.482117490354428,0.1831909346478845,-0.0432245236155091,-0.3406446689410861,-0.6035297564939646,-0.052625014019705,-0.0098414120733399,-0.3913130377735998,0.0604057803354635,0.0385876335294866,-0.0102006235539682,0.2777354441495953,0.6991174418445399,-0.3701901348219103,-0.0020834470305528,0.1755937627509833,-0.4131324281244263,0.1912601573589177,-0.0137228262807608,0.146557511553939,-0.928601460394253,-0.22974012632179,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429872,-0.0105110436788104,0.2275819368040658,0.9961038253671308,0.3915133816434112,-0.1883257583058776,0.350840238785143,-0.3737552305035935,-0.0001622824284271,-0.0493878078139276,0.2804698221798967,0.9714181100989372,0.0387899888364022,0.2168149985927741,-0.049721447939457,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353075,-0.2816699137266786,-0.0621814568306183,-0.9974375214017446,-0.3533818001912586,0.0603020183565871,-0.2599897925629316,-0.4871145088925188,0.4015122509777723,-0.2808184974124889,-0.2876885140728485,0.4662300369825688,0.0078955950795108,0.0628971917091673,0.5387165950966551,0.6223673236702755,-0.3010957650824926,-0.0601318522268539,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224338,-0.1593362661206449,-0.9922381659518612,-0.0465644032467314,-0.0534254991807295,-0.3982631535122666,-0.6086911331096487,0.0048404484552184,-0.0179756989510476,-0.0461085801423329,0.3897866237988844
3,1.974129019,-0.1417445822230624,-0.0132952266160458,-0.3041587797941068,0.6959175615854226,0.040488671812076,-0.0443838909045416,-0.5522563070046574,-0.4294665048044459,-0.0206747752910743,-0.075629423182503,-0.0948337012675843,0.7289443612696791,-0.0566668157510774,-0.0893868004488109,-0.2917266613679415,-0.8899528116456963,0.1059803171609741,-0.01773624656462,-0.0906464575863834,0.482117490354428,0.1831909346478845,-0.0432245236155093,-0.3406446689410862,-0.6035297564939646,-0.0526250140197048,-0.0098414120733401,-0.3913130377735997,0.0604057803354635,0.0385876335294865,-0.0102006235539682,0.2777354441495951,0.6991174418445399,-0.3701901348219104,-0.0020834470305528,0.1755937627509832,-0.4131324281244263,0.1912601573589178,-0.0137228262807608,0.146557511553939,-0.928601460394253,-0.22974012632179,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429871,-0.0105110436788103,0.2275819368040659,0.9961038253671308,0.3915133816434112,-0.1883257583058776,0.3508402387851431,-0.3737552305035935,-0.0001622824284271,-0.0493878078139276,0.2804698221798967,0.9714181100989372,0.0387899888364023,0.2168149985927741,-0.0497214479394571,-0.997339824246356,-0.2621006951664558,-0.0374939425367316,-0.2559846007518999,0.7637225416907655,0.0303129926353075,-0.2816699137266787,-0.0621814568306183,-0.9974375214017446,-0.3533818001912587,0.0603020183565872,-0.2599897925629314,-0.4871145088925188,0.4015122509777723,-0.2808184974124889,-0.2876885140728484,0.4662300369825688,0.0078955950795109,0.0628971917091673,0.538716595096655,0.6223673236702755,-0.3010957650824928,-0.0601318522268538,-0.0900648261231495,0.9509229066582735,-0.3539803019404967,-0.0917774327224338,-0.159336266120645,-0.9922381659518612,-0.0465644032467314,-0.0534254991807296,-0.3982631535122666,-0.6086911331096487,0.0048404484552184,-0.0179756989510476,-0.0461085801423328,0.3897866237988844
4,1.576872083,-0.1417445822230622,-0.0132952266160458,-0.3041587797941068,0.6959175615854226,0.040488671812076,-0.0443838909045415,-0.5522563070046573,-0.4294665048044459,-0.0206747752910743,-0.0756294231825029,-0.0948337012675842,0.7289443612696791,-0.0566668157510775,-0.0893868004488108,-0.2917266613679415,-0.8899528116456963,0.1059803171609741,-0.0177362465646199,-0.0906464575863833,0.482117490354428,0.1831909346478845,-0.0432245236155093,-0.3406446689410863,-0.6035297564939646,-0.0526250140197049,-0.0098414120733403,-0.3913130377735996,0.0604057803354635,0.0385876335294865,-0.0102006235539682,0.277735444149595,0.6991174418445399,-0.3701901348219102,-0.0020834470305528,0.1755937627509832,-0.4131324281244263,0.1912601573589176,-0.0137228262807608,0.1465575115539388,-0.928601460394253,-0.2297401263217899,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429871,-0.0105110436788104,0.2275819368040659,0.9961038253671308,0.3915133816434112,-0.1883257583058777,0.3508402387851429,-0.3737552305035935,-0.0001622824284272,-0.0493878078139276,0.2804698221798967,0.9714181100989372,0.0387899888364022,0.2168149985927741,-0.0497214479394571,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353075,-0.2816699137266786,-0.0621814568306183,-0.9974375214017446,-0.3533818001912586,0.0603020183565871,-0.2599897925629315,-0.4871145088925188,0.4015122509777721,-0.2808184974124888,-0.2876885140728483,0.4662300369825688,0.0078955950795109,0.0628971917091674,0.5387165950966549,0.6223673236702755,-0.3010957650824926,-0.0601318522268539,-0.0900648261231496,0.9509229066582735,-0.3539803019404967,-0.0917774327224338,-0.159336266120645,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122665,-0.6086911331096487,0.0048404484552185,-0.0179756989510477,-0.0461085801423328,0.3897866237988844
5,1.301926643,-0.1417445822230622,-0.0132952266160457,-0.3041587797941067,0.6959175615854226,0.040488671812076,-0.0443838909045415,-0.5522563070046572,-0.4294665048044459,-0.0206747752910743,-0.075629423182503,-0.0948337012675842,0.7289443612696791,-0.0566668157510775,-0.0893868004488108,-0.2917266613679414,-0.8899528116456963,0.1059803171609741,-0.01773624656462,-0.0906464575863834,0.482117490354428,0.1831909346478846,-0.0432245236155093,-0.3406446689410865,-0.6035297564939646,-0.0526250140197049,-0.0098414120733402,-0.3913130377735996,0.0604057803354635,0.0385876335294865,-0.0102006235539682,0.2777354441495951,0.6991174418445399,-0.3701901348219102,-0.0020834470305528,0.1755937627509833,-0.4131324281244263,0.1912601573589175,-0.0137228262807608,0.1465575115539388,-0.928601460394253,-0.22974012632179,-0.4379445290001117,-0.2744335638471831,-0.1057946580878595,0.1750176530429871,-0.0105110436788103,0.2275819368040659,0.9961038253671308,0.3915133816434114,-0.1883257583058777,0.350840238785143,-0.3737552305035935,-0.0001622824284271,-0.0493878078139276,0.2804698221798968,0.9714181100989372,0.0387899888364022,0.216814998592774,-0.0497214479394571,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518999,0.7637225416907655,0.0303129926353074,-0.2816699137266786,-0.0621814568306183,-0.9974375214017446,-0.3533818001912585,0.0603020183565871,-0.2599897925629315,-0.4871145088925188,0.4015122509777721,-0.2808184974124888,-0.2876885140728483,0.4662300369825688,0.0078955950795109,0.0628971917091672,0.538716595096655,0.6223673236702755,-0.3010957650824928,-0.0601318522268538,-0.0900648261231496,0.9509229066582735,-0.3539803019404968,-0.0917774327224338,-0.159336266120645,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122665,-0.6086911331096487,0.0048404484552185,-0.0179756989510476,-0.0461085801423327,0.3897866237988844
6,1.471004597,-0.1417445822230622,-0.0132952266160457,-0.3041587797941067,0.6959175615854226,0.040488671812076,-0.0443838909045415,-0.5522563070046572,-0.4294665048044459,-0.0206747752910743,-0.075629423182503,-0.0948337012675841,0.7289443612696791,-0.0566668157510774,-0.0893868004488109,-0.2917266613679415,-0.8899528116456963,0.1059803171609742,-0.0177362465646202,-0.0906464575863836,0.482117490354428,0.1831909346478846,-0.0432245236155094,-0.3406446689410866,-0.6035297564939646,-0.0526250140197048,-0.0098414120733403,-0.3913130377735995,0.0604057803354635,0.0385876335294864,-0.0102006235539682,0.277735444149595,0.6991174418445399,-0.37019013482191,-0.0020834470305528,0.1755937627509834,-0.4131324281244263,0.1912601573589174,-0.0137228262807608,0.1465575115539388,-0.928601460394253,-0.2297401263217901,-0.4379445290001118,-0.2744335638471831,-0.1057946580878595,0.1750176530429872,-0.0105110436788104,0.2275819368040658,0.9961038253671308,0.3915133816434115,-0.1883257583058777,0.3508402387851431,-0.3737552305035935,-0.0001622824284271,-0.0493878078139276,0.2804698221798968,0.9714181100989372,0.0387899888364022,0.2168149985927739,-0.049721447939457,-0.997339824246356,-0.2621006951664557,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353073,-0.2816699137266785,-0.0621814568306183,-0.9974375214017446,-0.3533818001912589,0.0603020183565873,-0.2599897925629315,-0.4871145088925188,0.4015122509777723,-0.2808184974124888,-0.2876885140728483,0.4662300369825688,-0.5028711503645023,0.0628971917091673,-0.1818097192281313,0.6223673236702755,-0.301095765082493,-0.0601318522268537,-0.0900648261231496,0.9509229066582735,-0.3539803019404969,-0.0917774327224337,-0.1593362661206451,-0.9922381659518612,-0.0465644032467313,-0.0534254991807296,-0.3982631535122664,-0.6086911331096487,0.0048404484552186,-0.0179756989510476,-0.0461085801423327,0.3897866237988844
7,1.714994281,-0.1417445822230623,-0.0132952266160458,-0.3041587797941067,0.6959175615854226,0.0404886718120759,-0.0443838909045416,-0.5522563070046573,-0.4294665048044459,-0.0206747752910743,-0.0756294231825031,-0.0948337012675841,0.7289443612696791,-0.0566668157510775,-0.0893868004488108,-0.2917266613679416,-0.8899528116456963,0.1059803171609742,-0.0177362465646203,-0.0906464575863836,0.482117490354428,0.1831909346478846,-0.0432245236155093,-0.3406446689410864,-0.6035297564939646,-0.0526250140197047,-0.0098414120733404,-0.3913130377735995,0.0604057803354635,0.0385876335294863,-0.0102006235539682,0.2777354441495951,0.6991174418445399,-0.3701901348219101,-0.0020834470305528,0.1755937627509834,-0.4131324281244263,0.1912601573589175,-0.0137228262807608,0.1465575115539389,-0.928601460394253,-0.22974012632179,-0.4379445290001116,-0.2744335638471831,-0.1057946580878595,0.1750176530429872,-0.0105110436788104,0.2275819368040657,0.9961038253671308,0.3915133816434115,-0.1883257583058778,0.3508402387851431,-0.3737552305035935,-0.000162282428427,-0.0493878078139275,0.2804698221798969,0.9714181100989372,0.0387899888364022,0.216814998592774,-0.049721447939457,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353073,-0.2816699137266785,-0.0621814568306182,-0.9974375214017446,-0.3533818001912589,0.0603020183565874,-0.2599897925629314,-0.4871145088925188,0.4015122509777723,-0.2808184974124887,-0.2876885140728483,0.4662300369825688,0.0187574567810578,0.0628971917091673,0.5259794470737927,0.6223673236702755,-0.301095765082493,-0.0601318522268537,-0.0900648261231495,0.9509229066582735,-0.3539803019404971,-0.0917774327224336,-0.159336266120645,-0.9922381659518612,-0.0465644032467314,-0.0534254991807297,-0.3982631535122664,-0.6086911331096487,0.0048404484552186,-0.0179756989510476,-0.0461085801423327,0.3897866237988844
8,1.481320012,-0.1417445822230623,-0.0132952266160458,-0.3041587797941065,0.6959175615854226,0.040488671812076,-0.0443838909045416,-0.5522563070046572,-0.4294665048044459,-0.0206747752910743,-0.0756294231825028,-0.0948337012675842,0.7289443612696791,-0.0566668157510774,-0.0893868004488109,-0.2917266613679414,-0.8899528116456963,0.1059803171609742,-0.0177362465646202,-0.0906464575863836,0.482117490354428,0.1831909346478847,-0.0432245236155093,-0.3406446689410865,-0.6035297564939646,-0.0526250140197047,-0.0098414120733404,-0.3913130377735993,0.0604057803354635,0.0385876335294864,-0.0102006235539682,0.2777354441495948,0.6991174418445399,-0.37019013482191,-0.0020834470305528,0.1755937627509835,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.146557511553939,-0.928601460394253,-0.2297401263217901,-0.4379445290001116,-0.2744335638471832,-0.1057946580878595,0.1750176530429872,-0.0105110436788105,0.2275819368040657,0.9961038253671308,0.3915133816434116,-0.1883257583058778,0.3508402387851432,-0.3737552305035935,-0.000162282428427,-0.0493878078139276,0.2804698221798968,0.9714181100989372,0.0387899888364022,0.216814998592774,-0.049721447939457,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518998,0.7637225416907655,0.0303129926353072,-0.2816699137266785,-0.0621814568306182,-0.9974375214017446,-0.3533818001912588,0.0603020183565872,-0.2599897925629314,-0.4871145088925188,0.4015122509777721,-0.2808184974124885,-0.2876885140728483,0.4662300369825688,0.0187574567810578,0.0628971917091674,0.5259794470737928,0.6223673236702755,-0.3010957650824929,-0.0601318522268537,-0.0900648261231496,0.9509229066582735,-0.353980301940497,-0.0917774327224337,-0.1593362661206451,-0.9922381659518612,-0.0465644032467314,-0.0534254991807297,-0.3982631535122664,-0.6086911331096487,0.0048404484552186,-0.0179756989510476,-0.0461085801423327,0.3897866237988844
9,1.477352219,-0.1417445822230623,-0.0132952266160458,-0.3041587797941065,0.6959175615854226,0.0404886718120757,-0.0443838909045418,-0.5522563070046571,-0.4294665048044459,-0.0206747752910742,-0.0756294231825028,-0.0948337012675842,0.7289443612696791,-0.0566668157510774,-0.0893868004488109,-0.2917266613679414,-0.8899528116456963,0.1059803171609742,-0.0177362465646203,-0.0906464575863837,0.482117490354428,0.1831909346478846,-0.0432245236155092,-0.3406446689410864,-0.6035297564939646,-0.0526250140197047,-0.0098414120733406,-0.3913130377735994,0.0604057803354635,0.0385876335294865,-0.0102006235539681,0.2777354441495949,0.6991174418445399,-0.37019013482191,-0.0020834470305528,0.1755937627509834,-0.4131324281244263,0.1912601573589175,-0.0137228262807609,0.1465575115539389,-0.928601460394253,-0.2297401263217901,-0.4379445290001117,-0.2744335638471833,-0.1057946580878595,0.1750176530429872,-0.0105110436788105,0.2275819368040658,0.9961038253671308,0.3915133816434117,-0.1883257583058778,0.3508402387851432,-0.3737552305035935,-0.000162282428427,-0.0493878078139276,0.2804698221798968,0.9714181100989372,0.0387899888364023,0.216814998592774,-0.049721447939457,-0.997339824246356,-0.2621006951664558,-0.0374939425367315,-0.2559846007518997,0.7637225416907655,0.0303129926353072,-0.2816699137266786,-0.0621814568306181,-0.9974375214017446,-0.3533818001912589,0.0603020183565872,-0.2599897925629314,-0.4871145088925188,0.4015122509777721,-0.2808184974124885,-0.2876885140728483,0.4662300369825688,0.0187574567810578,0.0628971917091675,0.5259794470737931,0.6223673236702755,-0.3010957650824929,-0.0601318522268537,-0.0900648261231496,0.9509229066582735,-0.353980301940497,-0.0917774327224337,-0.159336266120645,-0.9922381659518612,-0.0465644032467314,-0.0534254991807296,-0.3982631535122664,-0.6086911331096487,0.0048404484552186,-0.0179756989510476,-0.0461085801423327,0.3897866237988844
